loss,train_auc,valid_auc,params,iteration,train_time,best_round,feature_importance
-0.7878812194579449,0.7947469355009716,0.7878812194579449,"{'max_depth': 8, 'num_leaves': 15, 'subsample': 0.6630586690501413, 'colsample_bytree': 0.7942546155323965, 'reg_alpha': 0.9168599881050838, 'reg_lambda': 0.09086113504190514, 'min_child_samples': 170, 'min_split_gain': 0.08506649140147551, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",21,9.870111500145867,233,"[1602.0334377288818, 156278.3124746879, 6313.00145816803, 61785.83134969076, 159567.88031872115, 99895.08949637413, 20940.572854359943, 7404.804887533188, 22411.828822612762]"
-0.788521231085833,0.7983409535382432,0.788521231085833,"{'max_depth': 8, 'num_leaves': 30, 'subsample': 0.8300894760512735, 'colsample_bytree': 0.7822875619017827, 'reg_alpha': 0.3680672670628639, 'reg_lambda': 0.1528653471571605, 'min_child_samples': 60, 'min_split_gain': 0.133239006990418, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",22,7.5953530999831855,143,"[2055.518225034078, 139658.25227975845, 9725.735688845316, 66098.67762796085, 172876.33831485113, 99814.84008359909, 22533.90646457672, 11697.449024677277, 22109.290867646534]"
-0.7883179550104877,0.796968575090451,0.7883179550104877,"{'max_depth': 8, 'num_leaves': 15, 'subsample': 0.8295072584830219, 'colsample_bytree': 0.7725364492339482, 'reg_alpha': 0.323322257359999, 'reg_lambda': 0.11149254546602545, 'min_child_samples': 60, 'min_split_gain': 0.0011414639134752005, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",23,10.728850799845532,277,"[1972.0037174224854, 151080.9909925858, 7347.456167042255, 61940.73194497824, 163575.28701289496, 103498.19880791505, 22079.89242919286, 9539.441075742245, 24180.142583847046]"
-0.788084798614611,0.8046900762106833,0.788084798614611,"{'max_depth': 8, 'num_leaves': 85, 'subsample': 0.8456391297687283, 'colsample_bytree': 0.854439938577442, 'reg_alpha': 0.3476629150965801, 'reg_lambda': 0.1239381748938464, 'min_child_samples': 10, 'min_split_gain': 0.12897245073567518, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",24,6.433384499978274,77,"[2259.807084083557, 132229.61267741522, 12927.31701127688, 67448.46098502477, 178572.6447547277, 100544.41225719452, 26601.243743419647, 20486.24054002762, 19924.57351843516]"
-0.7870005730130697,0.7953260735786624,0.7870005730130697,"{'max_depth': 5, 'num_leaves': 95, 'subsample': 0.8532324555680592, 'colsample_bytree': 0.7870570287586218, 'reg_alpha': 1.3140060657617554, 'reg_lambda': 5.537870585332039, 'min_child_samples': 10, 'min_split_gain': 0.13523182304372988, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",25,7.979926100000739,160,"[1564.808177391688, 137091.72867684564, 8122.684040889144, 65887.97975774606, 167514.27826993665, 100923.42700977623, 20635.66880361736, 8842.958971381187, 20720.098341266315]"
-0.7836304275444013,0.7890260318460043,0.7836304275444013,"{'max_depth': 3, 'num_leaves': 120, 'subsample': 0.7950007952072049, 'colsample_bytree': 0.7645078822613535, 'reg_alpha': 0.14545864947242634, 'reg_lambda': 0.2013639543051103, 'min_child_samples': 60, 'min_split_gain': 0.09374044794536918, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",26,15.40427270019427,498,"[940.5590636134148, 167614.1960154573, 4538.526923596859, 63870.84731152654, 137601.48753378788, 103947.07991735637, 17954.539343933266, 5582.449785664678, 18725.55909115076]"
-0.7892397202275455,0.7978637145354246,0.7892397202275455,"{'max_depth': 8, 'num_leaves': 30, 'subsample': 0.7563894556741173, 'colsample_bytree': 0.8317943962531703, 'reg_alpha': 0.03968403022247707, 'reg_lambda': 0.07500613625970694, 'min_child_samples': 90, 'min_split_gain': 0.0021056739547170022, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",27,7.312311100075021,131,"[2083.8328738212585, 138900.6443787416, 9195.16838590304, 65514.76047595342, 172816.69572528204, 99262.70162757237, 22877.191605965298, 10232.976301113764, 24677.840956687927]"
-0.7878381692906008,0.7959506804843702,0.7878381692906008,"{'max_depth': 5, 'num_leaves': 100, 'subsample': 0.6713310528133202, 'colsample_bytree': 0.8790667574972102, 'reg_alpha': 0.03296805527488683, 'reg_lambda': 0.05052792043954203, 'min_child_samples': 95, 'min_split_gain': 0.014220163867189693, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",28,8.529157600132748,164,"[1719.759104569753, 153716.5833797877, 7286.919349732499, 70450.77968045075, 154480.9737848776, 96444.11685974275, 21073.741323571652, 8879.134626562396, 25386.982266756397]"
-0.7884842247454262,0.8076380606790128,0.7884842247454262,"{'max_depth': 8, 'num_leaves': 125, 'subsample': 0.9921280714596581, 'colsample_bytree': 0.8322214078535165, 'reg_alpha': 0.04253462704009679, 'reg_lambda': 0.43025331956748436, 'min_child_samples': 95, 'min_split_gain': 0.00527056665343709, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",29,7.527265000157058,74,"[3372.801898698012, 135691.89979203543, 18297.575109004974, 65328.14430785179, 176028.8474612683, 102579.92316135143, 25714.216276367504, 23818.429045339424, 22370.24658159415]"
-0.7887994696550488,0.8031511108173994,0.7887994696550488,"{'max_depth': 7, 'num_leaves': 75, 'subsample': 0.7606338660863534, 'colsample_bytree': 0.9066356127521576, 'reg_alpha': 0.010189267914462228, 'reg_lambda': 0.08597834525684686, 'min_child_samples': 70, 'min_split_gain': 0.036027765778082796, 'learning_rate': 0.05, 'objective': 'binary', 'metric': 'auc', 'boosting_type': 'gbdt', 'verbose': -1, 'random_state': 42, 'is_unbalance': True, 'force_col_wise': True}",30,7.214810499921441,93,"[2510.594970345497, 133072.28279726455, 12131.28266399602, 68345.90711967151, 177220.66488532224, 100072.88552488635, 26835.761291573446, 17802.461358775694, 23044.72767894094]"
